47	-58
21	-16
-92	-66
16	-33
-97	-76
-14	-45
-82	13
-21	-58
-59	41
-33	87
35	-24
52	-22
-77	12
48	17
-79	46
-24	45
-28	87
88	-70
-54	88
-87	60
-7	-63
-43	-91
48	-26
-90	94
49	88
54	-66
62	-89
29	74
-77	-21
52	22
-47	-99
24	-8
33	57
4	85
-67	72
-76	18
77	70
72	-87
-81	-46
89	-34
-18	21
20	-47
91	86
-8	-63
-99	-31
-50	-13
88	7
71	0
-99	52
98	-6
47	12
28	97
89	3
-66	26
-16	-48
-39	96
68	-24
5	-2
23	-23
37	28
-12	-69
-34	-12
-20	82
-73	66
33	-90
-26	13
-32	-4
67	69
36	-94
-56	56
-83	-11
44	-29
48	-5
28	-77
78	-3
3	82
34	75
-32	-78
-43	-32
52	73
-39	28
90	-43
75	68
-36	-81
-77	67
46	-10
-71	-45
-42	4
-33	97
-16	48
-65	-15
47	-99
-98	7
-54	94
76	-86
-71	-87
16	-14
13	52
70	78
-50	-60
81	84
-37	-52
77	58
10	98
-71	32
-66	-32
49	-3
91	40
22	48
80	7
88	4
-9	-57
-43	-95
22	-13
-18	88
21	65
72	-50
-28	36
-36	22
-32	-24
-23	100
18	-49
-57	-57
-64	77
-39	56
65	-8
40	-62
57	-29
-1	30
-54	-72
32	-35
-91	46
41	-99
-60	-28
92	-76
69	6
47	-92
84	-79
-35	-76
-97	0
51	30
56	44
86	51
-7	-17
71	-100
-62	-35
45	-37
-20	89
33	-26
28	18
-71	75
-85	-58
13	-25
54	-17
-74	5
11	-57
86	5
-16	1
-39	56
-27	62
13	-20
25	17
-7	-42
56	64
-6	85
-71	14
24	-46
100	92
-49	25
63	-70
-70	-11
-43	-68
20	85
53	-42
2	-50
82	-58
65	-46
-40	11
95	28
-96	14
75	79
17	17
74	-45
1	-71
-31	-97
-98	-26
19	-35
-99	-55
-63	71
-42	-34
-84	-42
-76	-14
8	-14
-49	-37
-45	35
-2	-56
69	18
30	-61
-29	47
-77	59
86	37
-95	7
14	-20
-30	-10
-62	15
-20	-5
38	33
66	42
-8	66
-10	-29
87	-17
88	-75
-4	-7
-35	-35
-31	40
48	61
27	61
-24	88
-60	-16
